scale,shard_name,arrow_bytes,chunk_count,total_labels,mean_labels,max_labels,total_sv,mean_sv,max_sv,ng_output_bytes
0,0_24576_28672,9777232,1297,28478,22.0,134,28478,22.0,134,8484106
0,0_24576_30720,10040592,2039,26165,12.8,51,26165,12.8,51,8580398
0,0_24576_32768,12830144,2647,31257,11.8,51,31257,11.8,51,11014976
0,0_24576_34816,7101824,2373,18285,7.7,39,18285,7.7,39,5704594
0,0_24576_36864,940568,514,2753,5.4,23,2753,5.4,23,660690
0,0_26624_28672,8705872,3437,26986,7.9,130,26986,7.9,130,6458206
0,0_26624_30720,28733656,4914,71129,14.5,70,71129,14.5,70,24868896
0,0_26624_32768,15612272,3856,42480,11.0,43,42480,11.0,43,13134457
0,0_26624_34816,16995456,4046,42779,10.6,38,42779,10.6,38,14389881
0,0_26624_36864,5357024,2001,14699,7.3,45,14699,7.3,45,4234075
0,0_28672_28672,6626336,1488,18306,12.3,77,18306,12.3,77,5241908
0,0_28672_30720,34469128,5093,83291,16.4,86,83291,16.4,86,29470538
0,0_28672_32768,26205864,4947,65953,13.3,53,65953,13.3,53,22639271
0,0_28672_34816,11885896,4740,48872,10.3,44,48872,10.3,44,9299507
0,0_28672_36864,6749776,3541,28070,7.9,32,28070,7.9,32,4932052
0,0_28672_38912,378944,314,1150,3.7,12,1150,3.7,12,217432
0,0_30720_28672,220384,137,817,6.0,26,817,6.0,26,141662
0,0_30720_30720,8850184,3824,30540,8.0,67,30540,8.0,67,6739751
0,0_30720_32768,16220128,4964,61363,12.4,43,61363,12.4,43,13373894
0,0_30720_34816,15887912,5106,62023,12.1,45,62023,12.1,45,13018451
0,0_30720_36864,8852088,4024,35072,8.7,33,35072,8.7,33,6787727
0,0_30720_38912,807024,667,2535,3.8,20,2535,3.8,20,469326
0,0_32768_30720,10402504,4426,38336,8.7,39,38336,8.7,39,8012328
0,0_32768_32768,16943424,5097,62273,12.2,45,62273,12.2,45,13958872
0,0_32768_34816,17251552,5109,65481,12.8,55,65481,12.8,55,14329449
0,0_32768_36864,12796016,4965,53250,10.7,40,53250,10.7,40,10178550
0,0_32768_38912,1377872,1033,5310,5.1,27,5310,5.1,27,850829
0,0_34816_30720,5743736,3152,20578,6.5,53,20578,6.5,53,4119906
0,0_34816_32768,17394256,5107,66351,13.0,51,66351,13.0,51,14366901
0,0_34816_34816,19696168,5120,78098,15.3,50,78098,15.3,50,16579741
0,0_34816_36864,11461248,5102,49249,9.7,38,49249,9.7,38,8791790
0,0_34816_38912,1340872,1100,5241,4.8,19,5241,4.8,19,824423
0,0_36864_30720,5878416,3080,22259,7.2,41,22259,7.2,41,4249702
0,0_36864_32768,14395152,5096,60320,11.8,41,60320,11.8,41,11560387
0,0_36864_34816,15943904,5119,67421,13.2,47,67421,13.2,47,13006086
0,0_36864_36864,9416952,5057,42631,8.4,38,42631,8.4,38,6803322
0,0_36864_38912,1427544,1290,5408,4.2,21,5408,4.2,21,799410
0,0_38912_30720,5686344,3045,25078,8.2,43,25078,8.2,43,4093893
0,0_38912_32768,18175632,5118,76228,14.9,43,76228,14.9,43,15110815
0,0_38912_34816,16312000,5120,75650,14.8,40,75650,14.8,40,13376949
0,0_38912_36864,10573072,5115,55907,10.9,35,55907,10.9,35,8090704
0,0_38912_38912,3417736,2128,15872,7.5,32,15872,7.5,32,2368055
0,0_40960_30720,3559904,2600,13779,5.3,36,13779,5.3,36,2088865
0,0_40960_32768,7085688,3799,26013,6.8,33,26013,6.8,33,4821448
0,0_40960_34816,4328872,3075,14810,4.8,25,14810,4.8,25,2442971
0,0_40960_36864,2579680,2367,7703,3.3,21,7703,3.3,21,1150736
0,0_40960_38912,1122440,1144,2988,2.6,12,2988,2.6,12,427434
0,10240_12288_22528,152640,40,286,7.2,14,286,7.2,14,128552
0,10240_12288_24576,3063424,677,4765,7.0,89,4765,7.0,89,2579349
0,10240_12288_26624,5090560,1628,8559,5.3,26,8559,5.3,26,4040142
0,10240_12288_28672,5622800,3373,14117,4.2,19,14117,4.2,19,3694175
0,10240_12288_30720,6334784,5670,16550,2.9,15,16550,2.9,15,2941346
0,10240_12288_32768,11121336,9622,28036,2.9,59,28036,2.9,59,5259064
0,10240_12288_34816,19451376,15123,53373,3.5,59,53373,3.5,59,10205502
0,10240_12288_36864,20985936,20408,49861,2.4,26,49861,2.4,26,8654018
0,10240_12288_38912,37689152,22986,115605,5.0,51,115605,5.0,51,23625505
0,10240_12288_40960,57274504,17248,137825,8.0,48,137825,8.0,48,45362552
0,10240_12288_43008,519288,264,1528,5.8,27,1528,5.8,27,387244
0,10240_14336_20480,31402040,7443,95542,12.8,109,95542,12.8,109,26317395
0,10240_14336_22528,158158080,23737,449359,18.9,143,449359,18.9,143,136272271
0,10240_14336_24576,204509608,24091,544016,22.6,169,544016,22.6,169,179808277
0,10240_14336_26624,71356968,16027,177954,11.1,60,177954,11.1,60,57910608
0,10240_14336_28672,64815120,32178,176508,5.5,67,176508,5.5,67,44491677
0,10240_14336_30720,63601544,32768,159242,4.9,63,159242,4.9,63,39982398
0,10240_14336_32768,46425296,32619,169972,5.2,59,169972,5.2,59,27333235
0,10240_14336_34816,53859576,32535,169079,5.2,56,169079,5.2,56,33911338
0,10240_14336_36864,48276944,32768,149937,4.6,66,149937,4.6,66,28271384
0,10240_14336_38912,67429672,32768,180128,5.5,63,180128,5.5,63,46522471
0,10240_14336_40960,63540360,21284,158526,7.4,54,158526,7.4,54,49295908
0,10240_14336_43008,1172608,760,3868,5.1,18,3868,5.1,18,780520
0,10240_16384_20480,26745240,6494,84469,13.0,124,84469,13.0,124,22359415
0,10240_16384_22528,121818760,19078,342483,18.0,130,342483,18.0,130,105375100
0,10240_16384_24576,251163952,30655,628481,20.5,126,628481,20.5,126,217033876
0,10240_16384_26624,130287008,21341,310277,14.5,80,310277,14.5,80,105957737
0,10240_16384_28672,186936320,31027,464203,15.0,70,464203,15.0,70,153460405
0,10240_16384_30720,205492544,32761,465959,14.2,65,465959,14.2,65,149475128
0,10240_16384_32768,161707400,29830,388983,13.0,65,388983,13.0,65,117859273
0,10240_16384_34816,83653056,28950,260579,9.0,54,260579,9.0,54,61900077
0,10240_16384_36864,45341080,32754,166338,5.1,52,166338,5.1,52,26271521
